Experiment,Base,Residual,Base_Val_RMSE,Base_Test_RMSE,Base_Test_MAE,Base_Test_MAPE(%),S2_Val_RMSE,S2_Test_RMSE,S2_Test_MAE,S2_Test_MAPE(%),Seeds,Epochs,Patience,ElapsedSec,S2_Val_NRMSE(%),S2_Val_R2,S2_Test_NRMSE(%),S2_Test_R2,Base_Val_NRMSE(%),Base_Val_R2,Base_Test_NRMSE(%),Base_Test_R2
LSTM+iTransformer,LSTM,iTransformer,2.494933927811029,2.156128697555303,1.8034877801804317,2.9183856436080906,1.8730405261429268,1.8685111239949457,1.5410355292910616,2.4935011718186098,1,60,12,5.462141036987305,2.8326698361965565,-0.03528369573022827,2.980378737842838,-0.8979193182240772,3.7731826845023693,-0.8368898909604616,3.4391446985380534,-1.5271774100523476
LSTM+Transformer,LSTM,Transformer,2.494933927811029,2.156128697555303,1.8034877801804317,2.9183856436080906,1.9802549432500185,1.718851338235128,1.3530590055919829,2.1932972564821323,1,60,12,8.671534061431885,2.9948142431678555,-0.1571968384903908,2.741663090041385,-0.6060645792690171,3.7731826845023693,-0.8368898909604616,3.4391446985380534,-1.5271774100523476
NLinear+iTransformer,NLinear,iTransformer,2.12885681483431,6.07066289756566,5.655163545663016,9.00669508968381,2.039499524368585,5.494082166310399,5.091765502348401,8.10121408859187,1,60,12,2.652696132659912,3.0844120578175196,-0.22747383397712984,8.763365367300496,-15.408794320063866,3.2195504586228414,-0.33738956585876756,9.683043569916165,-19.033581882746812
Transformer+NLinear,Transformer,NLinear,1.4371492013534943,1.521673634439776,1.1228000120617108,1.778319325455424,2.092179034621509,1.5706115773412122,1.2134077172415598,1.9394555998712415,1,60,12,5.846796989440918,3.1640812681716355,-0.2917031476757741,2.5052124605548847,-0.34098512283677285,2.173454944496684,0.3905069720259069,2.4271537310005393,-0.25872078159108214
NLinear+NLinear,NLinear,NLinear,2.12885681483431,6.07066289756566,5.655163545663016,9.00669508968381,2.1922925691757023,6.3189052332818925,5.866808354114351,9.339313123297275,1,60,12,1.1303040981292725,3.31548674262267,-0.41828023262568625,10.079003845292672,-20.705513027935517,3.2195504586228414,-0.33738956585876756,9.683043569916165,-19.033581882746812
NLinear+PatchTST,NLinear,PatchTST,2.12885681483431,6.07066289756566,5.655163545663016,9.00669508968381,2.204354148182437,6.75064629138177,6.334291238839286,10.093298822797674,1,60,12,6.090855121612549,3.333727923500714,-0.4339293829552089,10.767654746692457,-23.77291298866797,3.2195504586228414,-0.33738956585876756,9.683043569916165,-19.033581882746812
NLinear+Transformer,NLinear,Transformer,2.12885681483431,6.07066289756566,5.655163545663016,9.00669508968381,2.340178163332293,6.726563011872284,6.226733306303479,9.928343129744178,1,60,12,3.967973947525024,3.539139704706745,-0.6160800586367192,10.729240581924662,-23.596470989418943,3.2195504586228414,-0.33738956585876756,9.683043569916165,-19.033581882746812
LSTM+LSTM,LSTM,LSTM,2.494933927811029,2.156128697555303,1.8034877801804317,2.9183856436080906,2.625421530094233,2.397271904768034,2.04398177141462,3.303622924215873,1,60,12,5.9086480140686035,3.970524007248015,-1.034056963527544,3.8237814707374342,-2.1240714800561076,3.7731826845023693,-0.8368898909604616,3.4391446985380534,-1.5271774100523476
iTransformer+Transformer,iTransformer,Transformer,2.664616277751931,3.6828961722011817,3.384940684581938,5.448204268610963,2.7563314545531625,3.4119078362365176,3.0537315018426803,4.921644671588077,1,60,12,6.7416300773620605,4.1685040237494215,-1.241960252068678,5.442181981158056,-5.328211032688832,4.029799702502686,-1.0952429089505102,5.874423386810336,-6.373358016932503
LSTM+NLinear,LSTM,NLinear,2.494933927811029,2.156128697555303,1.8034877801804317,2.9183856436080906,2.8149627183679997,2.74881111718862,2.261866027686709,3.6633378411043007,1,60,12,3.1068661212921143,4.257174295507172,-1.3383543342239497,4.384505985974071,-3.1074867210902175,3.7731826845023693,-0.8368898909604616,3.4391446985380534,-1.5271774100523476
NLinear+LSTM,NLinear,LSTM,2.12885681483431,6.07066289756566,5.655163545663016,9.00669508968381,2.887229543360422,4.188988083299586,3.5025785160609657,5.572823202596066,1,60,12,3.4424078464508057,4.366466140748383,-1.4599577732724343,6.6816680169664755,-8.539038918823666,3.2195504586228414,-0.33738956585876756,9.683043569916165,-19.033581882746812
iTransformer+PatchTST,iTransformer,PatchTST,2.664616277751931,3.6828961722011817,3.384940684581938,5.448204268610963,2.914899392214497,4.034159704014099,3.761583547537667,6.049506533451641,1,60,12,9.682780981063845,4.408312296839014,-1.5073338603898923,6.434708176208054,-7.8469290624154855,4.029799702502686,-1.0952429089505102,5.874423386810336,-6.373358016932503
iTransformer+iTransformer,iTransformer,iTransformer,2.664616277751931,3.6828961722011817,3.384940684581938,5.448204268610963,3.3947139303970686,3.560155694484719,3.350300054495675,5.384447515981491,1,60,12,5.833675861358643,5.133953920876485,-2.4007240392340203,5.678645526373146,-5.8900814080609285,4.029799702502686,-1.0952429089505102,5.874423386810336,-6.373358016932503
iTransformer+LSTM,iTransformer,LSTM,2.664616277751931,3.6828961722011817,3.384940684581938,5.448204268610963,4.24524250325355,5.090042542227453,4.927676738048735,7.903761492823801,1,60,12,6.1378014087677,6.420240362374449,-4.31826573566043,8.118899787514051,-13.084103088038917,4.029799702502686,-1.0952429089505102,5.874423386810336,-6.373358016932503
iTransformer+NLinear,iTransformer,NLinear,2.664616277751931,3.6828961722011817,3.384940684581938,5.448204268610963,4.664335100752919,6.44167003990162,6.204879980032785,9.95567031632405,1,60,12,3.1015238761901855,7.054049905168687,-5.42014023208841,10.274820511678124,-21.55710294105054,4.029799702502686,-1.0952429089505102,5.874423386810336,-6.373358016932503
