Model,RMSE,MAE,MAPE,RMSPE
Hybrid_Naive_Drift_Damped_0.8*0.550+LightGBM*0.450,315.0968818120285,258.0672942747066,1.7097232286967208,2.1305111580309175
Hybrid_Naive_Drift_Damped_0.9*0.750+LightGBM*0.250,315.1626228416879,255.92902730766642,1.6929790518399415,2.101755313143016
Hybrid_Naive_Drift_Damped_0.6*0.625+LightGBM*0.375,315.322792156591,260.40092626204097,1.7139808571311348,2.0973762073525686
Hybrid_Naive_Drift*0.725+LightGBM*0.275,315.5938912738367,260.9000645610463,1.7269858558779643,2.1083299244724456
Hybrid_Naive_Drift_Damped_0.6*0.725+LightGBM*0.275,316.53091271258074,261.2827467008183,1.7214206380697932,2.0900381560254853
Hybrid_Naive_Drift*0.525+LightGBM*0.475,317.0282011674865,257.2381161788573,1.7150993607666392,2.158811214496288
Hybrid_Naive_Drift_Damped_0.9*0.525+LightGBM*0.475,319.03387953631903,260.3691578455241,1.7284036308269948,2.165443893188412
Hybrid_Naive_Drift_Damped_0.6*0.600+LightGBM*0.400,319.31308029175915,260.3376546795109,1.713180957264451,2.1253616151440076
Hybrid_Naive_Drift_Damped_0.8*0.775+LightGBM*0.225,319.33424058031244,264.752270410233,1.743022550878445,2.1200420773079123
Hybrid_Naive_Drift_Damped_0.7*0.775+LightGBM*0.225,320.3716122520627,267.1321662435662,1.7560945875118539,2.119115333023243
Hybrid_Naive_Drift_Damped_0.6*0.750+LightGBM*0.250,321.10103771127496,262.8384023076666,1.730930125936939,2.1144906722041132
Hybrid_Naive_Drift_Damped_0.7*0.550+LightGBM*0.450,322.22804324348385,261.3474331635959,1.7236610354266184,2.163217992506755
Hybrid_Naive_Drift_Damped_0.8*0.525+LightGBM*0.475,323.7370326363503,263.50019951219065,1.7417079008873484,2.185888499400223
Hybrid_Naive_Drift_Damped_0.9*0.775+LightGBM*0.225,324.2196531483379,262.3723745768995,1.7299505142450335,2.1517121616448702
Hybrid_Naive_Drift*0.750+LightGBM*0.250,324.3453515376136,263.368745560547,1.739758923333377,2.1553462052372243
Hybrid_Naive_Drift_Damped_0.6*0.575+LightGBM*0.425,324.9346253927257,260.6302721824339,1.7145519401149802,2.163223128786629
Hybrid_Naive_Drift_Damped_0.5*0.675+LightGBM*0.325,325.89648872432394,277.2505944271026,1.8113858018283695,2.137573609500672
Hybrid_Naive_Drift*0.500+LightGBM*0.500,326.089139993531,262.9692158607857,1.748351106296348,2.216930479557643
Hybrid_Naive_Drift_Damped_0.5*0.650+LightGBM*0.350,326.45610335685876,276.5679478445715,1.8070375632593134,2.1448899078691226
Hybrid_Naive_Drift_Damped_0.5*0.700+LightGBM*0.300,326.9670332553038,277.9332410096331,1.8157340403974203,2.140370643379815
Hybrid_Naive_Drift_Damped_0.6*0.775+LightGBM*0.225,327.2754522990868,269.51206207689984,1.7691666241452655,2.148971703365338
Hybrid_Naive_Drift_Damped_0.5*0.625+LightGBM*0.375,328.6375495954122,275.88530126204097,1.8026893246902622,2.162216879403495
Hybrid_Naive_Drift_Damped_0.8*0.800+LightGBM*0.200,328.7725373389224,271.2723885128001,1.78041569188462,2.1734121548071537
Hybrid_Naive_Drift_Damped_0.7*0.800+LightGBM*0.200,328.81300193436095,273.72905517946646,1.7939094071191048,2.1671451279829537
